,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'LOTR1'}),frozenset({'LOTR2'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
2,frozenset({'Green Mile'}),frozenset({'Sixth Sense'}),0.2,0.6,0.2,1.0,1.6666666666666667,0.08000000000000002,inf
4,frozenset({'Patriot'}),frozenset({'Gladiator'}),0.6,0.7,0.6,1.0,1.4285714285714286,0.18,inf
6,"frozenset({'Gladiator', 'Sixth Sense'})",frozenset({'Patriot'}),0.5,0.6,0.4,0.8,1.3333333333333335,0.10000000000000003,2.0000000000000004
8,frozenset({'Sixth Sense'}),frozenset({'Gladiator'}),0.6,0.7,0.5,0.8333333333333334,1.1904761904761907,0.08000000000000002,1.8000000000000007
10,frozenset({'Patriot'}),frozenset({'Sixth Sense'}),0.6,0.6,0.4,0.6666666666666667,1.1111111111111114,0.040000000000000036,1.2000000000000004
12,"frozenset({'Gladiator', 'Patriot'})",frozenset({'Sixth Sense'}),0.6,0.6,0.4,0.6666666666666667,1.1111111111111114,0.040000000000000036,1.2000000000000004
